POA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA3163,3482,126,36,13,0,0,8,3667
POA3165,4271,199,79,16,0,0,7,4575
POA3166,2873,133,30,18,0,0,3,3059
POA3167,1295,60,16,9,0,0,3,1390
POA3168,1336,60,15,13,0,0,6,1426
POA3169,2329,100,53,38,3,4,11,2529
POA3170,2591,110,50,34,0,0,9,2796
POA3171,2169,133,66,60,5,0,13,2441
POA3172,2780,201,90,46,0,3,10,3137
POA3173,4138,194,110,83,3,12,16,4559
POA3174,3945,277,131,77,7,10,24,4473
POA3175,5560,284,106,81,3,5,17,6059
POA3177,1117,71,48,13,0,0,10,1251
POA3178,4838,289,118,36,0,0,8,5286
POA3179,825,51,15,3,0,0,3,896
POA3180,957,59,22,0,0,0,0,1042
POA3181,1070,65,19,0,0,0,0,1150
POA3182,1029,91,25,5,0,0,3,1151
POA3183,1423,63,18,0,0,0,0,1508
POA3184,1168,94,28,6,0,0,0,1294
POA3185,1403,58,18,0,5,0,0,1485
POA3186,2699,157,49,16,0,0,0,2912
POA3187,2227,115,46,3,0,0,6,2392
POA3188,2403,137,27,7,0,0,5,2574
POA3189,773,45,21,0,0,0,5,844
POA3190,1435,91,30,6,0,0,6,1560
POA3191,1275,58,16,0,0,0,3,1363
POA3192,2924,145,53,11,0,0,8,3140
POA3193,2689,126,55,8,0,0,8,2880
POA3194,1444,77,31,6,0,0,0,1555
POA3195,5003,289,124,19,0,0,7,5444
POA3196,2933,224,72,10,0,0,11,3239
POA3197,1287,142,40,4,5,0,3,1478
POA3198,1568,163,58,21,9,0,11,1825
POA3199,5110,520,255,32,10,0,19,5945
POA3200,312,57,33,8,0,0,3,416
POA3201,2215,235,125,20,10,0,6,2617
POA3202,382,27,14,3,0,0,0,426
POA3204,4379,195,73,14,0,0,3,4673
POA3205,777,48,13,0,0,0,0,841
POA3206,1114,67,25,3,0,0,0,1215
POA3207,1452,144,29,7,0,0,4,1640
POA3211,164,12,0,7,0,0,0,177
POA3212,2092,169,117,16,5,3,13,2419
POA3213,597,53,23,9,4,0,5,684
POA3214,1635,179,105,25,5,0,16,1977
POA3215,2012,175,78,15,0,5,7,2292
POA3216,6234,445,227,29,3,0,19,6955
POA3217,2428,208,120,12,0,0,6,2776
POA3218,1603,94,34,7,0,0,0,1735
POA3219,1464,173,68,13,0,0,9,1727
POA3220,1705,104,31,10,0,0,0,1847
POA3221,104,4,4,0,0,0,0,115
POA3222,1745,192,101,22,0,0,12,2063
POA3223,595,57,17,0,0,0,7,680
POA3224,1476,164,78,18,3,0,11,1747
POA3225,414,23,10,0,0,0,0,445
POA3226,1939,137,43,8,0,0,5,2141
POA3227,598,32,10,4,0,0,0,642
POA3228,2956,183,85,7,0,0,0,3233
POA3230,277,12,0,0,0,0,0,293
POA3231,122,10,0,3,0,0,0,135
POA3232,85,4,0,0,0,0,0,93
POA3233,152,5,4,0,0,0,0,167
POA3234,20,0,0,0,0,0,0,16
POA3235,43,5,0,0,0,0,0,47
POA3236,10,6,0,0,0,0,0,17
POA3237,14,0,0,0,0,0,0,16
POA3238,20,0,0,0,0,0,0,17
POA3239,31,4,6,0,0,0,0,41
POA3240,306,20,6,0,0,0,0,339
POA3241,290,40,7,4,0,0,0,340
POA3242,98,4,3,0,0,0,0,109
POA3243,37,0,0,0,0,0,0,38
POA3249,333,21,15,4,0,0,7,385
POA3250,1066,92,38,11,0,0,5,1216
POA3251,51,3,3,0,0,0,0,62
POA3254,37,0,0,0,0,0,0,37
POA3260,401,36,27,0,0,0,0,463
POA3264,183,13,12,0,0,0,0,202
