POA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3910,1756,1105,472,121,11561
POA3911,305,163,85,17,1707
POA3912,1349,832,382,166,7619
POA3913,341,217,101,20,1762
POA3915,734,678,401,125,4975
POA3916,162,170,77,13,649
POA3918,418,322,158,24,2128
POA3919,263,181,68,13,1617
POA3920,9,0,0,0,559
POA3921,13,13,5,0,68
POA3922,1121,1093,520,190,5428
POA3923,127,158,47,3,502
POA3925,534,436,166,58,2582
POA3926,422,407,216,68,2063
POA3927,259,285,131,19,1184
POA3928,82,65,23,8,292
POA3929,188,216,134,28,786
POA3930,1911,1509,941,294,10190
POA3931,2111,2191,1613,731,13672
POA3933,108,89,37,15,522
POA3934,1851,1571,947,311,10515
POA3936,1301,1213,727,176,7001
POA3937,253,254,73,24,1037
POA3938,382,424,223,52,1906
POA3939,1419,1343,781,287,8022
POA3940,303,414,391,323,2532
POA3941,1420,1261,592,213,7357
POA3942,342,453,219,50,1689
POA3943,260,413,228,43,1328
POA3944,118,175,131,21,532
POA3945,132,112,29,7,566
POA3946,43,29,3,3,158
POA3950,430,359,190,62,2401
POA3951,111,109,30,3,537
POA3953,624,603,330,83,3777
POA3954,61,32,14,4,204
POA3956,364,312,125,24,1608
POA3957,33,17,16,0,140
POA3958,29,21,7,4,139
POA3959,144,153,54,9,671
POA3960,323,341,166,63,1490
POA3962,88,107,38,10,480
POA3964,20,16,8,0,93
POA3965,33,33,11,3,119
POA3966,42,54,20,4,258
POA3967,10,6,3,0,46
POA3971,408,433,167,56,2017
POA3975,803,356,122,53,8381
POA3976,1568,749,262,52,10741
POA3977,5433,3063,1317,409,52149
POA3978,1224,626,241,34,21234
POA3979,34,35,8,0,194
POA3980,260,201,66,19,1648
POA3981,292,213,111,51,2283
POA3984,649,537,238,49,3555
POA3987,138,74,27,6,769
POA3988,103,67,31,7,521
POA3990,18,15,10,0,63
POA3991,41,36,12,0,200
POA3992,122,116,19,4,651
POA3995,1045,1032,517,167,5591
POA3996,684,774,396,109,3607
